step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TrafficLight_stopped,TrafficLight_accumulated_waiting_time,TrafficLight_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,7.520646661892532,0,0.0,0.5414432441967265,0,0.0
30.0,0,0.0,0.0,13.556224154387602,0,0.0,0.9759700615109864,0,0.0
40.0,0,0.0,0.0,13.571801051576623,0,0.0,0.9770915083928454,0,0.0
50.0,0,0.0,0.0,13.393831905988046,0,0.0,0.9642787549307448,0,0.0
60.0,0,0.0,0.0,13.723678236952983,0,0.0,0.988025790997335,0,0.0
70.0,0,0.0,0.0,13.38647284022067,0,0.0,0.9637489445803217,0,0.0
80.0,1,2.0,1.0,6.513605061318624,1,2.0,0.46894204905101683,1,2.0
90.0,1,12.0,6.0,6.562108391562942,1,12.0,0.4724340094717741,1,12.0
100.0,0,0.0,0.0,9.196671799289994,0,0.0,0.6785408789922246,0,0.0
110.0,0,0.0,0.0,12.16632134675359,0,0.0,0.863568953840066,0,0.0
120.0,1,7.0,1.1666666666666667,11.221087608633873,1,7.0,0.7829090023165216,1,7.0
130.0,1,17.0,2.4285714285714284,10.77122991406026,1,17.0,0.7533188996215662,1,17.0
140.0,1,27.0,3.857142857142857,11.339300532011716,1,27.0,0.797162985418328,1,27.0
150.0,1,37.0,4.111111111111111,10.222624473047029,1,37.0,0.705322718025325,1,37.0
160.0,3,60.0,6.0,6.982246224372195,3,60.0,0.5026815136337073,3,60.0
170.0,5,103.0,8.583333333333334,7.175358295277566,5,103.0,0.5165844705023446,5,103.0
180.0,5,153.0,11.76923076923077,8.27920569065242,5,153.0,0.5960551253169487,5,153.0
190.0,2,73.0,5.615384615384615,8.836744074999448,2,96.0,0.6622024947250137,2,96.0
200.0,2,93.0,6.2,9.995107352176936,2,93.0,0.6389002507945549,2,93.0
210.0,4,121.0,7.5625,8.953295006407092,4,121.0,0.5428695075665563,4,121.0
220.0,3,21.0,1.05,9.103668238050101,3,35.0,0.5833997684405833,3,35.0
230.0,5,66.0,3.0,10.40781361157036,5,66.0,0.6547110404480463,5,66.0
240.0,6,122.0,5.083333333333333,9.594116486964824,6,122.0,0.5836046179670342,6,122.0
250.0,7,183.0,8.318181818181818,8.611160191527798,7,183.0,0.5462237060629771,7,183.0
260.0,7,253.0,11.5,8.973683095014316,7,253.0,0.5808686006658498,7,253.0
270.0,8,325.0,13.541666666666666,8.371686161828071,8,325.0,0.5094645826522084,8,325.0
280.0,7,108.0,4.695652173913044,6.865024146174439,7,279.0,0.41230234762485996,7,279.0
290.0,5,109.0,4.954545454545454,8.63230219959336,5,158.0,0.4959872747848009,5,158.0
300.0,6,161.0,5.962962962962963,9.454761963652922,6,161.0,0.49428200952065693,6,161.0
310.0,5,136.0,4.689655172413793,10.136523919212172,5,136.0,0.5846257845023364,5,136.0
320.0,6,194.0,6.258064516129032,10.295945216894406,6,194.0,0.5939953798148297,6,194.0
330.0,7,260.0,7.878787878787879,9.844799118653562,7,260.0,0.5707136175652758,7,260.0
340.0,4,156.0,4.875,10.083802228128288,4,195.0,0.6451916156657392,4,195.0
350.0,5,196.0,6.125,10.629502023730643,5,196.0,0.6789837664622834,5,196.0
360.0,7,250.0,7.8125,10.009257736371058,7,250.0,0.6322424096567909,7,250.0
370.0,4,47.0,1.3823529411764706,10.313951372049939,4,136.0,0.6793863359870631,4,136.0
380.0,5,67.0,1.8611111111111112,11.103529494971934,5,67.0,0.7092058482712523,5,67.0
390.0,8,129.0,3.3947368421052633,10.223055748025438,8,129.0,0.6290241516570279,8,129.0
400.0,6,87.0,2.230769230769231,9.440723359575436,6,114.0,0.5815857401551093,6,114.0
410.0,8,151.0,3.973684210526316,10.056018222645642,8,151.0,0.6034967064662942,8,151.0
420.0,12,253.0,7.027777777777778,8.868187605292524,12,253.0,0.4988950687220148,12,253.0
430.0,10,226.0,6.647058823529412,7.79292155852087,10,282.0,0.4338635279993724,10,282.0
440.0,14,354.0,10.411764705882353,7.319633834034925,14,354.0,0.3709800620674585,14,354.0
450.0,17,509.0,14.542857142857143,6.6382662621571775,17,509.0,0.30906089328979003,17,509.0
460.0,15,371.0,11.242424242424242,5.341141441108604,15,518.0,0.2278276795210054,15,518.0
470.0,10,336.0,9.882352941176471,7.616294468837912,10,442.0,0.40190862694907037,10,442.0
480.0,10,436.0,11.783783783783784,8.930522214184194,10,444.0,0.46558541546566945,10,444.0
490.0,6,258.0,6.972972972972973,9.353236506318053,6,398.0,0.5306925056636225,6,398.0
500.0,9,330.0,7.857142857142857,10.083012108042931,9,330.0,0.5703068477620055,9,330.0
